region_4,region_4,exchange_1,parameter,value
41PL,89SE,biomassTransport,capaExcResi,0
42PL,89SE,biomassTransport,capaExcResi,0
43PL,89SE,biomassTransport,capaExcResi,0
44PL,89SE,biomassTransport,capaExcResi,0
46SK,89SE,biomassTransport,capaExcResi,0
47CH,89SE,biomassTransport,capaExcResi,0
48CH,89SE,biomassTransport,capaExcResi,0
49AT,89SE,biomassTransport,capaExcResi,0
50AT,89SE,biomassTransport,capaExcResi,0
51AT,89SE,biomassTransport,capaExcResi,0
52IT,89SE,biomassTransport,capaExcResi,0
53IT,89SE,biomassTransport,capaExcResi,0
54IT,89SE,biomassTransport,capaExcResi,0
58HU,89SE,biomassTransport,capaExcResi,0
59RO,89SE,biomassTransport,capaExcResi,0
60RO,89SE,biomassTransport,capaExcResi,0
61RO,89SE,biomassTransport,capaExcResi,0
62HR,89SE,biomassTransport,capaExcResi,0
63BA,89SE,biomassTransport,capaExcResi,0
64ME,89SE,biomassTransport,capaExcResi,0
65RS,89SE,biomassTransport,capaExcResi,0
66BG,89SE,biomassTransport,capaExcResi,0
68GR,89SE,biomassTransport,capaExcResi,0
73EE,89SE,biomassTransport,capaExcResi,0
74FI,89SE,biomassTransport,capaExcResi,0
75FI,89SE,biomassTransport,capaExcResi,0
77LT,89SE,biomassTransport,capaExcResi,0
79NO,89SE,biomassTransport,capaExcResi,0
81NO,89SE,biomassTransport,capaExcResi,0
82NO,89SE,biomassTransport,capaExcResi,0
83NO,89SE,biomassTransport,capaExcResi,0
84NO,89SE,biomassTransport,capaExcResi,0
89SE,89SE,biomassTransport,capaExcResi,0
90UK,89SE,biomassTransport,capaExcResi,0
92UK,89SE,biomassTransport,capaExcResi,0
93UK,89SE,biomassTransport,capaExcResi,0
94UK,89SE,biomassTransport,capaExcResi,0
95UK,89SE,biomassTransport,capaExcResi,0
55IT,89SE,biomassTransport,capaExcResi,0
57SI,89SE,biomassTransport,capaExcResi,0
67MK,89SE,biomassTransport,capaExcResi,0
98IT,89SE,biomassTransport,capaExcResi,0
01ES,81NO,biomassTransport,capaExcResi,0
