timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0513,FR,s1980,electricity,dem,71.961731565308
h0514,FR,s1980,electricity,dem,72.1886271697036
h0515,FR,s1980,electricity,dem,72.2671161806927
h0516,FR,s1980,electricity,dem,72.3299733235498
h0517,FR,s1980,electricity,dem,70.6005557411322
h0518,FR,s1980,electricity,dem,68.5246491477256
h0519,FR,s1980,electricity,dem,66.537808488385
h0520,FR,s1980,electricity,dem,65.9773249719015
h0521,FR,s1980,electricity,dem,68.3251381587147
h0522,FR,s1980,electricity,dem,72.5958029938795
h0523,FR,s1980,electricity,dem,73.5062700268465
h0524,FR,s1980,electricity,dem,70.2036271697036
h0525,FR,s1980,electricity,dem,66.8674403565168
h0526,FR,s1980,electricity,dem,67.2581821147586
h0527,FR,s1980,electricity,dem,68.3547590378355
h0528,FR,s1980,electricity,dem,65.6729568400334
h0529,FR,s1980,electricity,dem,64.7432242696476
h0530,FR,s1980,electricity,dem,63.2538121817355
h0531,FR,s1980,electricity,dem,60.4975374564608
